1	9606
2	9606
3	9606
4	9606
6	9606
7	83333
8	9606
9	9606
10	83333
11	9606
12	9606
13	562
14	9606
15	9606
16	9606
19	9606
21	211044
22	381517
23	9606
24	9606
25	9606
27	10299
28	9606
29	9606
30	9606
35	9606
36	9606
38	9606
39	9606
41	9606
42	9606
43	9606
47	9606
48	9606
49	9606
50	9606
51	9606
52	9606
54	9606
55	9606
56	9606
57	9606
59	9606
61	9606
62	9606
63	9606
64	9606
65	9606
68	9606
69	9606
70	5839
71	9606
72	9606
73	9606
74	9606
76	9606
78	9606
79	9606
80	9606
84	9606
86	9606
87	9606
88	9606
89	9606
90	9606
91	9606
93	9606
95	9606
96	9606
97	9606
98	9606
99	9606
100	9606
102	9606
103	9606
104	9606
105	9606
106	9606
107	9606
108	9606
109	83333
110	83333
112	9606
113	9606
114	9606
115	9606
116	9606
117	9606
118	9606
120	9606
121	9606
124	9606
125	9606
126	9606
127	9606
128	9606
129	9606
130	9606
131	9606
133	9606
134	9606
136	9606
137	9606
138	9606
139	1280
140	9606
142	9606
143	9606
144	9606
145	1773
146	9606
148	9606
149	9606
150	9606
153	9606
155	9606
157	9606
160	9606
161	9606
163	9606
165	9606
166	9606
168	9606
169	9606
170	9606
172	9606
174	9606
175	9606
176	9606
179	9606
180	9606
184	9606
185	9606
186	212717
187	9606
188	9606
190	9606
191	11676
193	9606
194	9606
197	9606
201	9606
208	9606
213	10309
214	9606
215	9606
216	9606
218	9606
219	9606
220	9606
222	9606
226	9606
227	9606
228	11676
232	9606
234	9606
235	9606
236	9606
237	9606
238	9606
240	9606
241	9606
242	9606
243	9606
246	9606
247	9606
248	9606
249	9606
250	9606
251	9606
252	9606
255	559292
259	9606
260	9606
261	9606
262	9606
264	5702
265	9606
266	9606
270	9606
271	9606
272	9606
275	9606
276	9606
277	9606
278	9606
280	9606
282	9606
283	9606
285	9606
286	9606
311	5833
321	9606
322	9606
326	1773
329	9606
330	5476
10001	9606
10003	9606
10004	9606
10007	9606
10008	10090
10009	9606
10010	10116
10011	10141
10012	9606
10013	9823
10014	10141
10015	9606
10016	9606
10019	9606
10024	10116
10026	10116
10027	83333
10028	9606
10031	9913
10032	9606
10033	1280
10034	9606
10040	9606
10041	10090
10043	9606
10044	9606
10045	10090
10051	9606
10052	9606
10056	9606
10057	10116
10058	10090
10062	83333
10069	9606
10074	9606
10075	9823
10081	9913
10083	9606
10087	9606
10089	9606
10093	9606
10094	5476
10095	9031
10096	559292
10100	9606
10101	9606
10102	9606
10105	5665
10108	9606
10109	242507
10113	10116
10115	10116
10116	10141
10118	9606
10119	11679
10120	9606
10121	9606
10125	9606
10127	9606
10131	9606
10133	9606
10138	9606
10139	9606
10140	9606
10141	9606
10142	9606
10143	9606
10144	9606
10146	9606
10147	9606
10148	9606
10149	208964
10150	9606
